Date,Temp
1900/04,-0.251181818
1900/05,-0.279363636
1900/06,-0.185545455
1900/07,-0.194454545
1900/08,-0.186363636
1900/09,-0.226454545
1900/10,-0.061090909
1900/11,-0.262272727
1900/12,-0.089727273
1901/01,-0.183181818
1901/02,-0.274363636
1901/03,-0.247727273
1901/04,-0.193363636
1901/05,-0.201181818
1901/06,-0.160090909
1901/07,-0.195090909
1901/08,-0.202090909
1901/09,-0.351545455
1901/10,-0.299363636
1901/11,-0.445454545
1901/12,-0.444636364
1902/01,-0.241909091
1902/02,-0.273727273
1902/03,-0.395
1902/04,-0.447636364
1902/05,-0.408727273
1902/06,-0.450272727
1902/07,-0.391909091
1902/08,-0.371636364
1902/09,-0.373727273
1902/10,-0.485363636
1902/11,-0.534909091
1902/12,-0.526272727
1903/01,-0.275818182
1903/02,-0.208090909
1903/03,-0.356363636
1903/04,-0.471727273
1903/05,-0.467090909
1903/06,-0.553727273
1903/07,-0.496
1903/08,-0.596272727
1903/09,-0.530545455
1903/10,-0.659545455
1903/11,-0.628727273
1903/12,-0.603454545
1904/01,-0.641727273
1904/02,-0.608
1904/03,-0.66
1904/04,-0.553090909
1904/05,-0.542727273
1904/06,-0.529363636
1904/07,-0.53
1904/08,-0.485727273
1904/09,-0.486818182
1904/10,-0.481272727
1904/11,-0.387636364
1904/12,-0.418818182
1905/01,-0.470909091
1905/02,-0.702181818
1905/03,-0.463
1905/04,-0.552909091
1905/05,-0.347727273
1905/06,-0.331181818
1905/07,-0.296363636
1905/08,-0.310909091
1905/09,-0.323181818
1905/10,-0.37
1905/11,-0.225
1905/12,-0.205818182
1906/01,-0.075454545
1906/02,-0.241090909
1906/03,-0.292727273
1906/04,-0.113
1906/05,-0.340272727
1906/06,-0.298181818
1906/07,-0.319909091
1906/08,-0.325818182
1906/09,-0.390363636
1906/10,-0.352090909
1906/11,-0.431090909
1906/12,-0.283181818
1907/01,-0.443545455
1907/02,-0.521727273
1907/03,-0.344090909
1907/04,-0.506545455
1907/05,-0.557090909
1907/06,-0.531090909
1907/07,-0.406
1907/08,-0.465909091
1907/09,-0.415272727
1907/10,-0.359090909
1907/11,-0.584636364
1907/12,-0.536090909
1908/01,-0.424818182
1908/02,-0.421272727
1908/03,-0.636545455
